turn,us_china_tension,shared_infrastructure,scientific_openness,mars_progress,neutral_access,us_power,china_power,us_public_cooperation,china_public_cooperation,third_force_strength,international_trust,run,event
0,60,15,30,20,20,80,78,40,35,10,30,1,initial
1,56,27,30,20,27,81,78,40,35,19,34,1,india_transport_success
2,54,36,30,20,27,81,77,40,35,19,38,1,us_base_accident
3,62,45,30,20,27,81,77,37,32,19,37,1,earth_tension
4,60,54,30,20,27,81,78,38,33,19,41,1,us_base_accident
5,67,58,30,20,24,80,78,39,34,19,40,1,none
6,74,62,30,20,21,80,79,39,34,19,39,1,none
7,65,75,30,20,23,80,78,40,35,19,46,1,us_base_accident
8,72,79,30,20,20,80,78,40,35,19,45,1,none
9,80,84,30,20,14,80,77,40,35,19,43,1,none
10,87,88,30,20,11,80,77,40,35,19,42,1,none
0,60,15,30,20,20,80,78,40,35,10,30,2,initial
1,68,20,30,20,14,79,77,40,35,10,28,2,none
2,76,25,30,20,8,80,78,39,34,10,26,2,none
3,76,33,30,20,7,79,78,38,33,10,28,2,none
4,79,43,30,20,7,79,79,38,33,22,30,2,japanese_breakthrough
5,81,46,30,35,6,80,79,38,33,22,30,2,mars_breakthrough
6,84,53,30,35,6,79,79,38,33,26,30,2,none
7,92,58,30,35,0,78,79,38,33,26,28,2,none
8,98,62,30,35,0,79,78,38,33,26,27,2,none
9,98,67,30,35,0,79,79,38,33,26,25,2,none
10,98,71,30,35,0,79,79,38,33,26,24,2,none
0,60,15,30,20,20,80,78,40,35,10,30,3,initial
1,60,17,35,20,22,80,79,40,35,10,34,3,none
2,59,24,35,20,24,80,78,40,35,10,37,3,none
3,67,29,41,20,18,80,78,40,35,10,37,3,scientific_discovery
4,59,40,41,20,22,81,78,40,35,10,43,3,none
5,54,43,45,30,21,81,77,41,36,20,38,3,rare_unknown
6,48,51,50,30,23,81,78,42,37,20,45,3,none
7,47,58,50,30,25,82,78,43,38,20,48,3,none
8,54,62,50,30,22,82,78,44,39,20,47,3,none
9,53,69,50,30,24,82,78,45,40,20,50,3,none
10,53,78,50,30,24,81,78,47,42,20,53,3,none
0,60,15,30,20,20,80,78,40,35,10,30,4,initial
1,60,23,30,20,19,81,79,40,35,10,32,4,none
2,69,33,30,20,16,81,79,36,31,10,30,4,earth_tension
3,75,35,30,30,15,82,80,35,30,10,29,4,mars_breakthrough
4,70,45,30,30,20,82,80,36,31,14,33,4,none
5,70,54,30,30,20,83,81,37,32,14,36,4,none
6,73,64,30,30,20,83,80,37,32,26,38,4,japanese_breakthrough
