worldline,source_file,turn,event,us_china_tension,shared_infrastructure,scientific_openness,mars_progress,neutral_access,us_power,china_power,us_public_cooperation,china_public_cooperation,third_force_strength,international_trust,PC1,PC2
W01,run_1_20260808_235022_756486.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.5121930846942588,-1.696040614876397
W01,run_1_20260808_235022_756486.json,1,none,52,26,30,20,24,80,78,40,35,10,36,-0.7964528963947727,-2.2239225297077447
W01,run_1_20260808_235022_756486.json,2,scientific_discovery,61,26,41,20,18,80,79,40,35,10,37,-0.2036116262887864,-0.8833291452721213
W01,run_1_20260808_235022_756486.json,3,none,60,33,41,20,20,80,79,40,35,10,40,0.15281644141044942,-0.9943875464794296
W01,run_1_20260808_235022_756486.json,4,new_ice_discovery,70,38,41,20,19,80,80,40,35,10,38,-0.07830136937522394,-0.5287508098712034
W01,run_1_20260808_235022_756486.json,5,chinese_base_accident,68,47,41,20,19,81,80,41,36,10,42,0.6277688657197408,-0.41361626824845826
W01,run_1_20260808_235022_756486.json,6,none,75,51,41,20,16,82,80,41,36,10,41,0.46484346023062617,0.38280690646870935
W01,run_1_20260808_235022_756486.json,7,none,81,54,41,20,16,82,79,41,36,10,41,0.5417783428919827,0.8171741431452919
W01,run_1_20260808_235022_756486.json,8,none,81,63,41,20,16,81,79,41,36,10,44,0.9558892346054134,0.7664080721360397
W02,run_1_20260809_001315_095961.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.512193084694259,-1.6960406148763962
W02,run_1_20260809_001315_095961.json,1,none,61,25,30,20,17,81,77,40,35,10,32,-1.2384481028066865,-0.9472500693709753
W02,run_1_20260809_001315_095961.json,2,scientific_discovery,69,30,36,20,11,81,77,40,35,10,32,-0.8876019641492977,0.2908623675025741
W02,run_1_20260809_001315_095961.json,3,chinese_base_accident,61,45,36,20,11,80,77,41,36,10,39,0.2956067083602358,-0.13083070425504142
W02,run_1_20260809_001315_095961.json,4,scientific_discovery,69,50,42,20,5,80,77,42,37,10,39,0.974215793853735,1.0003515303130888
W02,run_1_20260809_001315_095961.json,5,rare_unknown,66,56,40,21,8,79,76,43,38,16,40,1.8238831336459116,0.8135016795009523
W02,run_1_20260809_001315_095961.json,6,none,59,69,40,21,10,78,76,44,39,16,46,2.9250690927956997,0.2389818925622428
W02,run_1_20260809_001315_095961.json,7,none,51,80,40,21,14,78,76,46,41,16,52,4.296335174767403,-0.5027604268799444
W02,run_1_20260809_001315_095961.json,8,none,43,91,40,21,18,78,76,48,43,16,58,5.667601256739107,-1.2445027463221299
W02,run_1_20260809_001315_095961.json,9,none,50,95,40,21,15,79,76,50,45,16,57,6.160201744922211,-0.6619399762158011
W02,run_1_20260809_001315_095961.json,10,none,42,100,40,21,19,80,77,52,47,16,63,7.288104093154127,-1.4390393714058922
W03,run_1_20260809_084337_691234.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.5121930846942586,-1.696040614876396
W03,run_1_20260809_084337_691234.json,1,none,60,23,30,20,19,80,78,40,35,10,32,-1.2556628767829996,-1.4967373837376463
W03,run_1_20260809_084337_691234.json,2,india_transport_success,56,35,30,20,26,80,78,40,35,19,36,-0.21396449495634065,-1.6879423692734923
W03,run_1_20260809_084337_691234.json,3,none,64,40,30,20,20,81,78,40,35,19,34,-0.4767877602334302,-0.5811575622102649
W03,run_1_20260809_084337_691234.json,4,none,65,50,30,20,17,81,78,41,36,19,36,0.1050447257280094,-0.24819577322449674
W03,run_1_20260809_084337_691234.json,5,none,64,57,30,20,19,82,78,42,37,19,39,0.7290922474632293,-0.28588794678284557
W03,run_1_20260809_084337_691234.json,6,none,63,64,30,20,21,83,78,43,38,19,42,1.353139769198449,-0.3235801203411945
W03,run_1_20260809_084337_691234.json,7,rare_unknown,79,68,36,17,18,82,78,43,38,27,35,1.6606497151967385,0.854788588913195
W03,run_1_20260809_084337_691234.json,8,none,86,72,36,17,15,83,77,43,38,27,34,1.5775432452699933,1.779813887890217
W03,run_1_20260809_084337_691234.json,9,none,86,81,36,17,15,83,76,43,38,27,37,2.0113295797456665,2.0379463710951993
W03,run_1_20260809_084337_691234.json,10,scientific_discovery,95,81,47,17,9,83,76,43,38,27,38,2.6839897854140253,3.507141879790676
W04,run_2_20260808_235455_327165.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.5121930846942586,-1.696040614876396
W04,run_2_20260808_235455_327165.json,1,none,61,25,30,20,17,79,79,40,35,10,32,-1.277798988331172,-1.5650471777994426
W04,run_2_20260808_235455_327165.json,2,rare_unknown,66,32,32,24,19,78,79,40,35,12,40,-0.37557636148998846,-0.9773817365563672
W04,run_2_20260808_235455_327165.json,3,none,61,42,32,24,24,78,79,41,36,16,44,0.698492814747328,-1.4017321534734521
W04,run_2_20260808_235455_327165.json,4,none,64,49,32,24,24,78,79,42,37,20,44,1.313352010596422,-1.09889742442044
W04,run_2_20260808_235455_327165.json,5,none,72,54,32,24,18,77,80,42,37,20,42,1.0909967953572148,-0.48130760152582597
W04,run_2_20260808_235455_327165.json,6,none,75,61,32,24,18,76,81,42,37,24,42,1.3584176016079559,-0.38044122438162803
W04,run_2_20260808_235455_327165.json,7,none,82,65,32,24,15,76,80,42,37,24,41,1.3354546244813361,0.36428764464101354
W04,run_2_20260808_235455_327165.json,8,none,74,76,32,24,19,76,80,42,37,24,47,2.051194812780818,-0.16359427019033387
W05,run_2_20260809_001911_469440.json,0,initial,60,15,30,20,20,80,78,40,35,10,30,-1.5121930846942586,-1.696040614876396
W05,run_2_20260809_001911_469440.json,1,none,67,19,30,20,17,81,77,40,35,10,29,-1.5952995546210047,-0.7710153158993743
W05,run_2_20260809_001911_469440.json,2,none,60,32,30,20,19,82,77,40,35,10,35,-0.9421635279075767,-0.878012040623905
W05,run_2_20260809_001911_469440.json,3,rare_unknown,67,40,34,30,18,82,77,40,35,19,36,-0.17002494339596255,1.298931149481065
W05,run_2_20260809_001911_469440.json,4,none,74,44,34,30,15,82,76,40,35,19,35,-0.1929879205225827,2.043660018503706
W05,run_2_20260809_001911_469440.json,5,none,81,48,34,30,12,82,77,40,35,19,34,-0.3755887687739391,2.531184639006641
W05,run_2_20260809_001911_469440.json,6,none,88,52,34,30,9,82,78,40,35,19,33,-0.5581896170252948,3.018709259509575
W05,run_2_20260809_001911_469440.json,7,new_ice_discovery,97,55,34,30,10,82,78,40,35,19,31,-0.7070278234626712,3.372359360225218
W05,run_2_20260809_001911_469440.json,8,japanese_breakthrough,99,58,44,30,7,82,77,40,35,27,37,0.8513713405007408,4.756311482035411
W05,run_2_20260809_001911_469440.json,9,none,96,68,44,30,4,82,78,40,35,27,39,1.0620117477901414,4.892775067936401
