turn,us_china_tension,shared_infrastructure,scientific_openness,mars_progress,neutral_access,us_power,china_power,us_public_cooperation,china_public_cooperation,third_force_strength,international_trust,run,event
0,60,15,30,20,20,80,78,40,35,10,30,1,initial
1,60,23,30,20,19,80,78,40,35,10,32,1,none
2,56,35,30,20,26,80,78,40,35,19,36,1,india_transport_success
3,64,40,30,20,20,81,78,40,35,19,34,1,none
4,65,50,30,20,17,81,78,41,36,19,36,1,none
5,64,57,30,20,19,82,78,42,37,19,39,1,none
6,63,64,30,20,21,83,78,43,38,19,42,1,none
7,79,68,36,17,18,82,78,43,38,27,35,1,rare_unknown
8,86,72,36,17,15,83,77,43,38,27,34,1,none
9,86,81,36,17,15,83,76,43,38,27,37,1,none
10,95,81,47,17,9,83,76,43,38,27,38,1,scientific_discovery
0,60,15,30,20,20,80,78,40,35,10,30,2,initial
1,51,24,30,20,26,81,79,40,35,10,36,2,none
2,51,32,30,20,25,81,79,40,35,10,38,2,none
3,58,36,30,20,22,81,79,40,35,10,37,2,none
4,59,40,35,20,22,82,78,40,35,10,41,2,none
5,66,44,35,20,23,81,78,41,36,15,40,2,india_transport_success
6,65,51,35,20,25,81,79,42,37,15,43,2,none
7,71,54,35,20,25,81,79,42,37,15,43,2,none
8,63,65,35,20,29,81,80,43,38,15,49,2,none
9,60,73,39,25,28,81,79,44,39,24,47,2,rare_unknown
10,61,83,39,25,25,82,80,45,40,24,49,2,none
0,60,15,30,20,20,80,78,40,35,10,30,3,initial
1,60,24,30,20,20,80,78,40,35,10,33,3,none
2,60,32,30,20,19,80,78,40,35,10,35,3,none
3,67,36,30,20,16,80,79,40,35,10,34,3,none
4,68,46,30,20,13,79,79,41,36,10,36,3,none
5,82,49,30,20,13,79,79,37,32,10,32,3,earth_tension
6,81,56,30,20,15,79,79,37,32,10,35,3,none
7,88,60,30,20,12,80,79,37,32,10,34,3,none
8,94,63,30,20,12,79,79,37,32,10,34,3,none
9,94,72,30,20,12,79,79,37,32,10,37,3,none
10,98,76,30,20,9,79,79,37,32,10,36,3,none
0,60,15,30,20,20,80,78,40,35,10,30,4,initial
1,55,25,30,20,25,80,77,40,35,14,34,4,none
2,47,36,30,20,29,80,76,40,35,14,40,4,none
3,47,44,30,20,28,80,76,41,36,14,42,4,none
4,53,49,30,20,22,80,76,42,37,14,41,4,us_base_accident
5,53,58,30,20,22,80,77,43,38,14,44,4,none
6,61,57,41,20,19,80,77,44,39,14,46,4,scientific_discovery
7,60,64,41,20,21,79,77,45,40,14,49,4,none
8,68,69,41,20,15,80,76,46,41,14,47,4,none
9,74,72,41,20,15,80,77,46,41,14,47,4,none
10,72,77,41,40,15,80,77,46,41,14,49,4,mars_breakthrough
0,60,15,30,20,20,80,78,40,35,10,30,5,initial
1,60,17,35,20,22,81,77,40,35,10,34,5,none
2,52,32,35,20,22,80,77,40,35,10,41,5,chinese_base_accident
3,45,45,35,20,24,80,76,41,36,10,47,5,none
